drug_idx,drug_id
0,abiraterone
1,acamprosate
2,acarbose
3,acebutolol
4,acenocoumarol
5,acetazolamide
6,acetylcholine
7,acipimox
8,acitretin
9,acyclovir
10,adapalene
11,adenosine
12,afatinib
13,albendazole
14,alclometasone
15,alfuzosin
16,aliskiren
17,allopurinol
18,alosetron
19,alprazolam
20,amantadine
21,ambrisentan
22,amcinonide
23,amifostine
24,amikacin
25,amiloride
26,aminoglutethimide
27,aminophylline
28,amiodarone
29,amisulpride
30,amitriptyline
31,amlexanox
32,amlodipine
33,amoxapine
34,amoxicillin
35,ampicillin
36,amsacrine
37,anagrelide
38,anastrozole
39,apomorphine
40,aprepitant
41,argatroban
42,aripiprazole
43,articaine
44,asenapine
45,aspirin
46,atenolol
47,atomoxetine
48,atorvastatin
49,atovaquone
50,atracurium
51,atropine
52,auranofin
53,axitinib
54,azathioprine
55,azelastine
56,azithromycin
57,aztreonam
58,baclofen
59,balsalazide
60,belinostat
61,benazepril
62,benzathine
63,benzocaine
64,benzonatate
65,benzydamine
66,bepridil
67,betahistine
68,betamethasone
69,betaxolol
70,bethanechol
71,bezafibrate
72,bicalutamide
73,bimatoprost
74,bisacodyl
75,bisoprolol
76,bortezomib
77,bosentan
78,bosutinib
79,bretylium
80,brimonidine
81,brinzolamide
82,bromfenac
83,bromhexine
84,bromocriptine
85,budesonide
86,bumetanide
87,bupivacaine
88,bupropion
89,buspirone
90,busulfan
91,butenafine
92,butoconazole
93,cabergoline
94,caffeine
95,calcipotriol
96,candesartan
97,capecitabine
98,capsaicin
99,captopril
100,carbachol
101,carbamazepine
102,carbidopa
103,carbimazole
104,carbinoxamine
105,carisoprodol
106,carteolol
107,carvedilol
108,cefaclor
109,cefadroxil
110,cefazolin
111,cefdinir
112,cefepime
113,cefixime
114,cefotaxime
115,cefotetan
116,cefoxitin
117,cefpodoxime
118,ceftazidime
119,cefuroxime
120,celecoxib
121,celiprolol
122,cephalexin
123,cerivastatin
124,cetirizine
125,chlorambucil
126,chlordiazepoxide
127,chlorhexidine
128,chloroquine
129,chlorzoxazone
130,ciclopirox
131,cilostazol
132,cimetidine
133,cinacalcet
134,ciprofloxacin
135,cisplatin
136,citalopram
137,cladribine
138,clemastine
139,clindamycin
140,clobetasol
141,clocortolone
142,clofarabine
143,clofazimine
144,clomipramine
145,clonidine
146,clopidogrel
147,clotrimazole
148,clozapine
149,colchicine
150,cortisol
151,cortisone
152,crizotinib
153,crotamiton
154,cyanocobalamin
155,cyclizine
156,cyclobenzaprine
157,cyclopentolate
158,cyclophosphamide
159,cyproheptadine
160,cyproterone
161,cytarabine
162,dabrafenib
163,dacarbazine
164,danazol
165,dantrolene
166,dapsone
167,darifenacin
168,dasatinib
169,deferiprone
170,demeclocycline
171,desipramine
172,desloratadine
173,dexamethasone
174,dextrorphan
175,diazepam
176,diazoxide
177,diclofenac
178,dicloxacillin
179,didanosine
180,diflorasone
181,diflunisal
182,digoxin
183,diltiazem
184,dimenhydrinate
185,diphenhydramine
186,dipyridamole
187,disopyramide
188,disulfiram
189,dobutamine
190,docetaxel
191,dofetilide
192,dolasetron
193,domperidone
194,donepezil
195,dopamine
196,dorzolamide
197,doxapram
198,doxazosin
199,doxepin
200,doxercalciferol
201,doxorubicin
202,doxycycline
203,droperidol
204,duloxetine
205,dyphylline
206,econazole
207,edrophonium
208,efavirenz
209,elvitegravir
210,emedastine
211,entacapone
212,entecavir
213,ephedrine
214,eplerenone
215,eprosartan
216,erlotinib
217,erythromycin
218,esmolol
219,esomeprazole
220,estradiol
221,estriol
222,estrone
223,ethambutol
224,ethionamide
225,ethosuximide
226,ethotoin
227,etodolac
228,etomidate
229,etoposide
230,etoricoxib
231,everolimus
232,exemestane
233,ezetimibe
234,famciclovir
235,famotidine
236,febuxostat
237,felbamate
238,felodipine
239,fenofibrate
240,fenoldopam
241,fenoprofen
242,fexofenadine
243,finasteride
244,flavoxate
245,flecainide
246,flucloxacillin
247,fluconazole
248,fludarabine
249,flumazenil
250,flumethasone
251,flunisolide
252,fluocinolone
253,fluocinonide
254,fluoxetine
255,fluphenazine
256,flurbiprofen
257,flutamide
258,fluticasone
259,fluvastatin
260,fluvoxamine
261,formoterol
262,fosinopril
263,furosemide
264,gabapentin
265,galantamine
266,ganciclovir
267,gatifloxacin
268,gefitinib
269,gemcitabine
270,gemfibrozil
271,gentamicin
272,glibenclamide
273,gliclazide
274,glimepiride
275,glipizide
276,glutamine
277,glycerol
278,glycopyrrolate
279,goserelin
280,granisetron
281,griseofulvin
282,guaifenesin
283,guanfacine
284,halcinonide
285,halofantrine
286,haloperidol
287,hexachlorophene
288,homatropine
289,hydralazine
290,hydrochlorothiazide
291,hydrocortisone
292,hydroflumethiazide
293,hydroxychloroquine
294,hydroxyl
295,hydroxyzine
296,ibuprofen
297,ibutilide
298,idarubicin
299,ifosfamide
300,iloperidone
301,iloprost
302,imatinib
303,imipramine
304,imiquimod
305,indapamide
306,indinavir
307,iodixanol
308,iohexol
309,iopamidol
310,iopromide
311,ioversol
312,ipratropium
313,irbesartan
314,irinotecan
315,isocarboxazid
316,isoniazid
317,isosorbide
318,isoxsuprine
319,isradipine
320,itraconazole
321,ivermectin
322,kanamycin
323,ketoconazole
324,ketoprofen
325,ketorolac
326,ketotifen
327,labetalol
328,lamivudine
329,lamotrigine
330,lansoprazole
331,lapatinib
332,latanoprost
333,leflunomide
334,lenalidomide
335,letrozole
336,leucovorin
337,levetiracetam
338,levobunolol
339,levocabastine
340,levomepromazine
341,levonorgestrel
342,lidocaine
343,lincomycin
344,linezolid
345,lisinopril
346,lisuride
347,lomefloxacin
348,loperamide
349,loratadine
350,lorazepam
351,losartan
352,loteprednol
353,lovastatin
354,loxapine
355,lymecycline
356,mafenide
357,mannitol
358,maprotiline
359,maraviroc
360,mebendazole
361,mebeverine
362,mecamylamine
363,medrysone
364,mefloquine
365,megestrol
366,melatonin
367,meloxicam
368,melphalan
369,memantine
370,mephenytoin
371,mepivacaine
372,mepyramine
373,meropenem
374,mesna
375,metaxalone
376,metformin
377,methazolamide
378,methenamine
379,methimazole
380,methocarbamol
381,methotrexate
382,methyldopa
383,methylprednisolone
384,methysergide
385,metoclopramide
386,metolazone
387,metoprolol
388,metronidazole
389,metyrapone
390,mexiletine
391,mianserin
392,miconazole
393,midazolam
394,midodrine
395,mifepristone
396,miglitol
397,milnacipran
398,milrinone
399,minocycline
400,minoxidil
401,mirtazapine
402,misoprostol
403,mitotane
404,mitoxantrone
405,moclobemide
406,modafinil
407,molindone
408,mometasone
409,monobenzone
410,montelukast
411,moxifloxacin
412,moxonidine
413,mupirocin
414,nabumetone
415,nadolol
416,nafcillin
417,naftifine
418,nalbuphine
419,naloxone
420,naltrexone
421,nandrolone
422,naphazoline
423,naproxen
424,nateglinide
425,nefazodone
426,nefopam
427,nelfinavir
428,neomycin
429,neostigmine
430,nevirapine
431,niacin
432,nicardipine
433,nicorandil
434,nicotine
435,nifedipine
436,nilotinib
437,nilutamide
438,nimodipine
439,nisoldipine
440,nitazoxanide
441,nitrazepam
442,nizatidine
443,norfloxacin
444,nortriptyline
445,nystatin
446,ofloxacin
447,olanzapine
448,olmesartan
449,olopatadine
450,omeprazole
451,ondansetron
452,orlistat
453,orphenadrine
454,oxacillin
455,oxandrolone
456,oxaprozin
457,oxcarbazepine
458,oxiconazole
459,oxprenolol
460,oxybutynin
461,oxymetholone
462,oxytetracycline
463,paclitaxel
464,palonosetron
465,pancuronium
466,pantoprazole
467,papaverine
468,parecoxib
469,paromomycin
470,paroxetine
471,pazopanib
472,pemetrexed
473,penbutolol
474,penciclovir
475,penicillin
476,pentamidine
477,pentobarbital
478,pentoxifylline
479,pergolide
480,perhexiline
481,perindopril
482,perphenazine
483,phenelzine
484,phenoxybenzamine
485,phentermine
486,phentolamine
487,phenytoin
488,physostigmine
489,pilocarpine
490,pimozide
491,pindolol
492,pioglitazone
493,piperacillin
494,pirfenidone
495,piroxicam
496,pitavastatin
497,pizotifen
498,ponatinib
499,pralidoxime
500,pramipexole
501,pravastatin
502,praziquantel
503,prazosin
504,prednicarbate
505,prednisolone
506,prednisone
507,prilocaine
508,primaquine
509,primidone
510,probenecid
511,procainamide
512,procaine
513,procarbazine
514,prochlorperazine
515,progesterone
516,proguanil
517,promethazine
518,propafenone
519,propantheline
520,propofol
521,propranolol
522,propylthiouracil
523,prostaglandin
524,protriptyline
525,pyrantel
526,pyrazinamide
527,pyridoxine
528,pyrimethamine
529,quetiapine
530,quinapril
531,quinidine
532,rabeprazole
533,raloxifene
534,raltegravir
535,raltitrexed
536,ramipril
537,ranitidine
538,ranolazine
539,reboxetine
540,repaglinide
541,rescinnamine
542,reserpine
543,retinol
544,ribavirin
545,rifabutin
546,rifampicin
547,rifapentine
548,rifaximin
549,riluzole
550,rimantadine
551,rimexolone
552,rimonabant
553,risperidone
554,ritonavir
555,rivaroxaban
556,rivastigmine
557,rizatriptan
558,rofecoxib
559,ropinirole
560,ropivacaine
561,rosiglitazone
562,rosuvastatin
563,roxithromycin
564,ruxolitinib
565,salbutamol
566,salmeterol
567,saquinavir
568,scopolamine
569,sertaconazole
570,sertraline
571,sibutramine
572,sildenafil
573,simvastatin
574,sitagliptin
575,solifenacin
576,sorafenib
577,sotalol
578,sparfloxacin
579,spectinomycin
580,spironolactone
581,stavudine
582,stiripentol
583,streptozotocin
584,sulconazole
585,sulfacetamide
586,sulfadiazine
587,sulfamethoxazole
588,sulfasalazine
589,sulindac
590,sumatriptan
591,sunitinib
592,suprofen
593,tacrolimus
594,tadalafil
595,tamoxifen
596,tegaserod
597,telmisartan
598,temozolomide
599,temsirolimus
600,teniposide
601,tenofovir
602,tenoxicam
603,terazosin
604,terbinafine
605,terbutaline
606,terconazole
607,testosterone
608,tetrabenazine
609,tetracaine
610,tetracycline
611,tetrahydrobiopterin
612,thalidomide
613,theophylline
614,thiamine
615,thioridazine
616,thiotepa
617,thiothixene
618,tiagabine
619,tibolone
620,ticlopidine
621,tigecycline
622,timolol
623,tinidazole
624,tizanidine
625,tofacitinib
626,tolazamide
627,tolbutamide
628,tolcapone
629,tolmetin
630,tolterodine
631,topiramate
632,topotecan
633,torasemide
634,toremifene
635,tramadol
636,trametinib
637,tranylcypromine
638,trazodone
639,treprostinil
640,triamcinolone
641,triamterene
642,triclosan
643,trifluoperazine
644,trihexyphenidyl
645,trimethadione
646,trimethobenzamide
647,trimethoprim
648,trimipramine
649,troglitazone
650,tropicamide
651,tropisetron
652,valdecoxib
653,valsartan
654,vardenafil
655,varenicline
656,vecuronium
657,vemurafenib
658,venlafaxine
659,verapamil
660,verteporfin
661,vigabatrin
662,vinblastine
663,vincristine
664,vinorelbine
665,voriconazole
666,vorinostat
667,warfarin
668,westcort
669,zafirlukast
670,zalcitabine
671,zaleplon
672,zidovudine
673,zileuton
674,ziprasidone
675,zolmitriptan
676,zolpidem
677,zonisamide
678,zopiclone
