gene_id,GeneSymbol
10007,GNPDA1
1001,CDH3
10013,HDAC6
10038,PARP2
10046,MAMLD1
10049,DNAJB6
10051,SMC4
10057,ABCC5
10058,ABCB6
10059,DNM1L
10099,TSPAN3
10112,KIF20A
10123,ARL4C
10131,TRAP1
10146,G3BP1
10150,MBNL2
10153,CEBPZ
10165,SLC25A13
1017,CDK2
10174,SORBS3
10180,RBM6
1019,CDK4
10190,TXNDC9
102,ADAM10
10206,TRIM13
1021,CDK6
1022,CDK7
10221,TRIB1
10227,MFSD10
10237,SLC35B1
10245,TIMM17B
1026,CDKN1A
1027,CDKN1B
10270,AKAP8
10273,STUB1
10276,NET1
10285,SMNDC1
1029,CDKN2A
10298,PAK4
10318,TNIP1
10320,IKZF1
10329,RXYLT1
10362,HMG20B
10398,MYL9
10434,LYPLA1
10450,PPIE
10451,VAV3
10489,LRRC41
10491,CRTAP
10493,VAT1
10494,STK25
1050,CEBPA
10513,APPBP2
1052,CEBPD
10523,CHERP
10525,HYOU1
10557,RPP38
10559,SLC35A1
10589,DRAP1
10606,PAICS
10610,ST6GALNAC2
10617,STAMBP
1062,CENPE
10641,NPRL2
10644,IGF2BP2
10652,YKT6
10668,CGRRF1
10670,RRAGA
10681,GNB5
10682,EBP
10695,CNPY3
1070,CETN3
10730,YME1L1
10732,TCFL5
10765,KDM5B
10775,POP4
10776,ARPP19
10782,ZNF274
10797,MTHFD2
10810,WASF3
10813,UTP14A
10818,FRS2
10845,CLPX
10857,PGRMC1
10892,MALT1
10898,CPSF4
10904,BLCAP
10915,TCERG1
10921,RNPS1
10953,TOMM34
10954,PDIA5
10962,MLLT11
10969,EBNA1BP2
10972,TMED10
10973,ASCC3
11000,SLC27A3
11004,KIF2C
11007,CCDC85B
11011,TLK2
11014,KDELR2
11031,RAB31
11041,B4GAT1
11044,TENT4A
11065,UBE2C
11072,DUSP14
11073,TOPBP1
11098,PRSS23
1111,CHEK1
11137,PWP1
11142,PKIG
11151,CORO1A
11157,LSM6
11168,PSIP1
11182,SLC2A6
11188,NISCH
11200,CHEK2
1123,CHN1
11230,PRAF2
11232,POLG2
11261,CHP1
11284,PNKP
11319,ECD
11325,DDX42
11344,TWF2
1153,CIRBP
116832,RPL39L
1212,CLTB
1213,CLTC
124583,CANT1
1277,COL1A1
128,ADH5
1282,COL4A1
1385,CREB1
1398,CRK
1399,CRKL
142,PARP1
1429,CRYZ
1445,CSK
1452,CSNK1A1
1454,CSNK1E
1459,CSNK2A2
1465,CSRP1
147179,WIPF2
148022,TICAM1
1500,CTNND1
1509,CTSD
1514,CTSL
1534,CYB561
154,ADRB2
16,AARS
1605,DAG1
1616,DAXX
1633,DCK
1635,DCTD
1643,DDB2
1647,GADD45A
1662,DDX10
1666,DECR1
1676,DFFA
1677,DFFB
1738,DLD
1759,DNM1
178,AGL
1786,DNMT1
1788,DNMT3A
1802,DPH2
1829,DSG2
1831,TSC22D3
1845,DUSP3
1846,DUSP4
1848,DUSP6
1861,TOR1A
1870,E2F2
1891,ECH1
1906,EDN1
1950,EGF
1956,EGFR
1958,EGR1
1978,EIF4EBP1
1981,EIF4G1
1983,EIF5
1994,ELAVL1
200081,TXLNA
200734,SPRED2
2017,CTTN
2037,EPB41L2
2042,EPHA3
2048,EPHB2
2058,EPRS
2063,NR2F6
2064,ERBB2
2065,ERBB3
207,AKT1
2109,ETFB
211,ALAS1
2113,ETS1
2115,ETV1
2131,EXT1
2146,EZH2
2184,FAH
2185,PTK2B
2195,FAT1
2222,FDFT1
226,ALDOA
2263,FGFR2
2264,FGFR4
2274,FHL2
22794,CASC3
22796,COG2
22809,ATF5
22823,MTF2
22827,PUF60
22841,RAB11FIP2
2288,FKBP4
22883,CLSTN1
22887,FOXJ3
22889,KHDC4
22905,EPN2
22908,SACM1L
22926,ATF6
22934,RPIA
23,ABCF1
230,ALDOC
23011,RAB21
23013,SPEN
23014,FBXO21
23029,RBM34
23038,WDTC1
23039,XPO7
23061,TBC1D9B
23076,RRP1B
23077,MYCBP2
2309,FOXO3
23097,CDK19
23131,GPATCH8
23139,MAST2
23142,DCUN1D4
23149,FCHO1
23161,SNX13
23200,ATP11B
23210,JMJD6
23212,RRS1
23223,RRP12
23224,SYNE2
23244,PDS5A
23271,CAMSAP2
23300,ATMIN
23321,TRIM2
23325,WASHC4
23326,USP22
23335,WDR7
23338,JADE2
23365,ARHGEF12
23368,PPP1R13B
23378,RRP8
23386,NUDCD3
23410,SIRT3
23443,SLC35A3
23463,ICMT
23499,MACF1
23512,SUZ12
23522,KAT6B
2353,FOS
23530,NNT
23536,ADAT1
2356,FPGS
23585,TMEM50A
23588,KLHDC2
23597,ACOT9
23635,SSBP2
23636,NUP62
23647,ARFIP2
23658,LSM5
23659,PLA2G15
23670,CEMIP2
24149,ZNF318
25,ABL1
2523,FUT1
2534,FYN
2542,SLC37A4
2548,GAA
2553,GABPB1
256364,EML3
25793,FBXO7
25803,SPDEF
25805,BAMBI
2582,GALE
25825,BACE2
25839,COG4
25874,MPC2
25932,CLIC4
25966,C2CD2
2597,GAPDH
25976,TIPARP
25987,TSKU
26001,RNF167
26020,LRP10
26036,ZNF451
26054,SENP6
26064,RAI14
26128,KIF1BP
26136,TES
26227,PHGDH
2624,GATA2
2625,GATA3
26292,MYCBP
26511,CHIC2
26520,TIMM9
2673,GFPT1
2690,GHR
26993,AKAP8L
27032,ATP2C1
27095,TRAPPC3
27109,DMAC2L
27242,TNFRSF21
27244,SESN1
27336,HTATSF1
27346,TMEM97
2736,GLI2
2745,GLRX
2767,GNA11
2769,GNA15
2770,GNAI1
2771,GNAI2
2778,GNAS
2810,SFN
2817,GPC1
2852,GPER1
2886,GRB7
2887,GRB10
2896,GRN
28969,BZW2
2908,NR3C1
29082,CHMP4A
29083,GTPBP8
291,SLC25A4
29103,DNAJC15
2920,CXCL2
2946,GSTM2
2954,GSTZ1
2956,MSH6
2958,GTF2A2
2961,GTF2E2
29763,PACSIN3
29890,RBM15B
29911,HOOK2
29916,SNX11
29928,TIMM22
29937,NENF
29978,UBQLN2
30,ACAA1
30001,ERO1A
3028,HSD17B10
3033,HADH
3066,HDAC2
30836,DNTTIP2
30849,PIK3R4
3091,HIF1A
3098,HK1
310,ANXA7
3108,HLA-DMA
3122,HLA-DRA
3156,HMGCR
3157,HMGCS1
3162,HMOX1
3202,HOXA5
3206,HOXA10
323,APBB2
3251,HPRT1
3280,HES1
329,BIRC2
3300,DNAJB2
3303,HSPA1A
3308,HSPA4
3312,HSPA8
3315,HSPB1
332,BIRC5
3329,HSPD1
3337,DNAJB1
3383,ICAM1
3385,ICAM3
3398,ID2
3416,IDE
3454,IFNAR1
348,APOE
3480,IGF1R
3482,IGF2R
3486,IGFBP3
3508,IGHMBP2
351,APP
355,FAS
3551,IKBKB
3553,IL1B
3566,IL4R
3597,IL13RA1
3611,ILK
3628,INPP1
3638,INSIG1
3682,ITGAE
3693,ITGB5
3725,JUN
375346,STIMATE
3775,KCNK1
3800,KIF5C
3815,KIT
387,RHOA
388650,DIPK1A
3895,KTN1
39,ACAT2
3909,LAMA3
392,ARHGAP1
3925,STMN1
3930,LBR
3964,LGALS8
3978,LIG1
3988,LIPA
4016,LOXL1
4043,LRPAP1
4067,LYN
4088,SMAD3
4125,MAN2B1
4144,MAT2A
4154,MBNL1
4172,MCM3
4200,ME2
4208,MEF2C
4216,MAP3K4
4232,MEST
427,ASAH1
4282,MIF
4303,FOXO4
4312,MMP1
4313,MMP2
4331,MNAT1
4482,MSRA
4582,MUC1
4605,MYBL2
4609,MYC
4616,GADD45B
4638,MYLK
4651,MYO10
466,ATF1
4690,NCK1
47,ACLY
4775,NFATC3
4776,NFATC4
4780,NFE2L2
4783,NFIL3
4791,NFKB2
4792,NFKBIA
4793,NFKBIB
4794,NFKBIE
481,ATP1B1
4817,NIT1
4836,NMT1
4846,NOS3
4850,CNOT4
4851,NOTCH1
4860,PNP
4864,NPC1
4891,SLC11A2
4893,NRAS
4925,NUCB2
4927,NUP88
4931,NVL
4998,ORC1
501,ALDH7A1
5018,OXA1L
5019,OXCT1
5048,PAFAH1B1
5050,PAFAH1B3
5054,SERPINE1
5058,PAK1
50810,HDGFL3
50813,COPS7A
50814,NSDHL
50865,HEBP1
5092,PCBD1
5096,PCCB
51001,MTERF3
51005,AMDHD2
51015,ISOC1
51021,MRPS16
51024,FIS1
51026,GOLT1B
51031,GLOD4
51053,GMNN
51056,LAP3
5106,PCK2
51070,NOSIP
51071,DERA
5108,PCM1
51097,SCCPDH
5110,PCMT1
5111,PCNA
51116,MRPS2
51160,VPS28
51170,HSD17B11
51203,NUSAP1
51282,SCAND1
51293,CD320
51335,NGRN
51375,SNX7
51382,ATP6V1D
51385,ZNF589
51422,PRKAG2
51465,UBE2J1
51466,EVL
51495,HACD3
5154,PDGFA
51569,UFM1
51599,LSR
51635,DHRS7
51719,CAB39
51742,ARID4B
5211,PFKL
5223,PGAM1
5236,PGM1
5255,PHKA1
5257,PHKB
5261,PHKG2
5287,PIK3C2B
5289,PIK3C3
5290,PIK3CA
5300,PIN1
5321,PLA2G4A
533,ATP6V0B
5331,PLCB3
53343,NUDT9
5347,PLK1
5355,PLP2
5357,PLS1
5359,PLSCR1
5366,PMAIP1
5373,PMM2
54205,CYCS
5423,POLB
5427,POLE2
5438,POLR2I
54386,TERF2IP
5440,POLR2K
54438,GFOD1
54442,KCTD5
54499,TMCO1
54505,DHX29
54512,EXOSC4
54541,DDIT4
54623,PAF1
5467,PPARD
5468,PPARG
54681,P4HTM
54733,SLC35F2
5480,PPIC
54807,ZNF586
54850,FBXL12
54881,TEX10
54915,YTHDF1
54957,TXNL4B
5498,PPOX
55008,HERC6
55011,PIH1D1
55012,PPP2R3C
55033,FKBP14
55038,CDCA4
55111,PLEKHJ1
55127,HEATR1
55129,ANO10
55148,UBR7
55179,FAIM
5525,PPP2R5A
55256,ADI1
5529,PPP2R5E
55324,ABCF3
5547,PRCP
55556,ENOSF1
55604,CARMIL1
55608,ANKRD10
55620,STAP2
5566,PRKACA
55699,IARS2
55746,NUP133
55748,CNDP2
55793,MINDY1
5580,PRKCD
55818,KDM3A
55825,PECR
5583,PRKCH
55837,EAPP
55847,CISD1
5588,PRKCQ
55893,ZNF395
55958,KLHL9
5601,MAPK9
5603,MAPK13
5607,MAP2K5
5613,PRKX
5627,PROS1
5641,LGMN
5654,HTRA1
56654,NPDC1
56889,TM9SF3
56924,PAK6
56940,DUSP22
5696,PSMB8
5699,PSMB10
56997,COQ8A
57019,CIAPIN1
57048,PLSCR3
5708,PSMD2
5710,PSMD4
57147,SCYL3
57149,LYRM1
5715,PSMD9
5716,PSMD10
57178,ZMIZ1
57192,MCOLN1
572,BAD
5720,PSME1
5721,PSME2
57215,THAP11
57406,ABHD6
5743,PTGS2
5747,PTK2
5770,PTPN1
57761,TRIB3
5777,PTPN6
57804,POLD4
5782,PTPN12
5788,PTPRC
5792,PTPRF
5796,PTPRK
581,BAX
5827,PXMP2
5829,PXN
5831,PYCR1
5836,PYGL
58472,SQOR
58478,ENOPH1
58497,PRUNE1
58533,SNX6
5867,RAB4A
5873,RAB27A
5880,RAC2
5883,RAD9A
5889,RAD51C
5891,MOK
5898,RALA
5899,RALB
5900,RALGDS
5909,RAP1GAP
5921,RASA1
5925,RB1
5927,KDM5A
595,CCND1
596,BCL2
5971,RELB
5982,RFC2
5985,RFC5
5986,RFNG
5993,RFX5
5997,RGS2
6009,RHEB
60493,FASTKD5
6050,RNH1
60528,ELAC2
6117,RPA1
6118,RPA2
6119,RPA3
6182,MRPL12
6184,RPN1
6193,RPS5
6194,RPS6
6195,RPS6KA1
622,BDH1
6251,RSU1
6253,RTN2
6275,S100A4
6284,S100A13
6304,SATB1
6342,SCP2
6347,CCL2
637,BID
63874,ABHD4
6390,SDHB
63933,MCUR1
64080,RBKS
642,BLMH
644,BLVRA
64422,ATG3
64428,CIAO3
64429,ZDHHC6
6443,SGCB
6461,SHB
6464,SHC1
64746,ACBD3
64781,CERK
64943,NT5DC2
6499,SKIV2L
6500,SKP1
65057,ACD
6509,SLC1A4
65123,INTS3
652,BMP4
6597,SMARCA4
6599,SMARCC1
66008,TRAK2
6603,SMARCD2
6616,SNAP25
6622,SNCA
664,BNIP3
665,BNIP3L
6657,SOX2
6659,SOX4
6676,SPAG4
6696,SPP1
6697,SPR
670,BPHL
6709,SPTAN1
6714,SRC
672,BRCA1
6772,STAT1
6774,STAT3
6777,STAT5B
6790,AURKA
6793,STK10
6804,STX1A
6810,STX4
6812,STXBP1
6813,STXBP2
6832,SUPV3L1
6839,SUV39H1
6850,SYK
6856,SYPL1
6894,TARBP1
6908,TBP
6909,TBX2
6915,TBXA2R
6919,TCEA2
6944,VPS72
695,BTK
6988,TCTA
6990,DYNLT3
701,BUB1B
7015,TERT
7016,TESK1
7020,TFAP2A
7027,TFDP1
7043,TGFB3
7048,TGFBR2
7074,TIAM1
7077,TIMP2
7082,TJP1
7088,TLE1
7099,TLR4
7105,TSPAN6
7106,TSPAN4
7153,TOP2A
7157,TP53
7158,TP53BP1
7159,TP53BP2
7165,TPD52L2
7168,TPM1
7264,TSTA3
727,C5
7296,TXNRD1
7319,UBE2A
7358,UGDH
7376,NR1H2
7398,USP1
7416,VDAC1
7466,WFS1
7485,WRB
7494,XBP1
7511,XPNPEP1
7538,ZFP36
7690,ZNF131
7750,ZMYM2
780,DDR1
7849,PAX8
7852,CXCR4
7866,IFRD2
7867,MAPKAPK3
7874,USP7
79006,METRN
7905,REEP5
79071,ELOVL6
79073,TMEM109
79080,CCDC86
79090,TRAPPC6A
79094,CHAC1
79143,MBOAT7
79170,PRR15L
79174,CRELD2
79187,FSD1
79600,TCTN1
79643,CHMP6
79716,NPEPL1
7982,ST7
79850,FAM57A
79902,NUP85
79921,TCEAL4
7994,KAT6A
79947,DHDDS
79961,DENND2D
80204,FBXO11
80212,CCDC92
80347,COASY
80349,WDR61
8050,PDHX
8061,FOSL1
80746,TSEN2
80758,PRR7
808,CALM3
8091,HMGA2
813,CALU
81533,ITFG1
81544,GDPD5
8202,NCOA3
8204,NRIP1
823,CAPN1
8243,SMC1A
8270,LAGE3
831,CAST
8312,AXIN1
8318,CDC45
8321,FZD1
8324,FZD7
8349,HIST2H2BE
835,CASP2
836,CASP3
83743,GRWD1
8396,PIP4K2B
840,CASP7
84159,ARID5B
843,CASP10
8440,NCK2
8444,DYRK3
8446,DUSP11
84617,TUBB6
847,CAT
84722,PSRC1
8480,RAE1
84890,ADO
8503,PIK3R3
8508,NIPSNAP1
8518,ELP1
8520,HAT1
85236,HIST1H2BK
85377,MICALL1
8550,MAPKAPK5
8553,BHLHE40
8569,MKNK1
8573,CASK
8574,AKR7A2
8607,RUVBL1
8624,PSMG1
8678,BECN1
868,CBLB
8720,MBTPS1
8726,EED
8727,CTNNAL1
873,CBR1
8731,RNMT
874,CBR3
8800,PEX11A
8804,CREG1
8821,INPP4B
8826,IQGAP1
8835,SOCS2
8837,CFLAR
8851,CDK5R1
8869,ST3GAL5
8870,IER3
8878,SQSTM1
8884,SLC5A6
8895,CPNE3
890,CCNA2
8900,CCNA1
891,CCNB1
8914,TIMELESS
896,CCND3
8974,P4HA2
8985,PLOD3
899,CCNF
89910,UBE3B
8996,NOL3
9016,SLC25A14
9019,MPZL1
902,CCNH
9053,MAP7
90861,JPT2
9093,DNAJA3
9097,USP14
9112,MTA1
91137,SLC25A46
9124,PDLIM1
9126,SMC3
9128,PRPF4
9133,CCNB2
9134,CCNE2
9143,SYNGR3
9170,LPAR2
9181,ARHGEF2
9183,ZW10
91949,COG7
9212,AURKB
9217,VAPB
9221,NOLC1
9246,UBE2L6
9261,MAPKAPK2
9267,CYTH1
9270,ITGB1BP1
9275,BCL7B
9276,COPB2
9289,ADGRG1
93487,MAPK1IP1L
93594,TBC1D31
9375,TM9SF2
94239,H2AFV
9448,MAP4K4
9455,HOMER2
9467,SH3BP5
9488,PIGB
949,SCARB1
9491,PSMF1
9517,SPTLC2
9519,TBPL1
9531,BAG3
9533,POLR1C
9552,SPAG7
958,CD40
960,CD44
9637,FEZ2
9641,IKBKE
965,CD58
9650,MTFR1
9653,HS2ST1
9670,IPO13
9686,VGLL4
9688,NUP93
9690,UBE3C
9695,EDEM1
9697,TRAM2
9702,CEP57
9703,KIAA0100
9709,HERPUD1
9710,KIAA0355
9712,USP6NL
9738,CCP110
976,ADGRE5
9761,MLEC
9797,TATDN2
9801,MRPL19
9805,SCRN1
9813,EFCAB14
9817,KEAP1
983,CDK1
9833,MELK
9842,PLEKHM1
9847,C2CD5
9851,KIAA0753
9854,C2CD2L
9868,TOMM70
9897,WASHC5
9903,KLHL21
991,CDC20
9915,ARNT2
9917,FAM20B
9918,NCAPD2
9924,PAN2
9926,LPGAT1
9928,KIF14
993,CDC25A
994,CDC25B
9943,OXSR1
9961,MVP
998,CDC42
9988,DMTF1
